,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,(854.8243693890865-8582.573989850267j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-854.8243693890865+8582.573989850267j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1,0j,(854.8243693890865-8582.573989850267j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-854.8243693890865+8582.573989850267j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2,0j,0j,(854.8243693890865-8582.573989850267j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-854.8243693890865+8582.573989850267j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3,0j,0j,0j,(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
4,0j,0j,0j,0j,(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
5,0j,0j,0j,0j,0j,(6.529999682416517-6.6199026271864705j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-6.529999682416517+6.6199026271864705j),0j,0j,0j
6,0j,0j,0j,0j,0j,0j,(26.828782555483578-72.62265253509176j),0j,0j,(-4.0504571301157934+6.358238179004515j),(-8.162777053916827+21.884508607842832j),(-5.9678528371309145+19.19276774608064j),0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,(-0.7911896095007113+2.3242479177800117j),(-1.4919632092827286+4.79819193652016j),(-2.0406942634792067+5.471127151960708j),0j,0j,0j,(-0.7911898601495787+2.3242486541017495j),(-1.4919636819366717+4.79819345658736j),(-2.0406949099711476+5.471128885213784j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7,0j,0j,0j,0j,0j,0j,0j,(43.23251931064609-101.01188557908472j),0j,(-8.162777053916827+21.884508607842832j),(-3.957326928304273+6.343899475835464j),(-9.440085183570078+23.670936724144127j),0j,0j,0j,(-0-0j),(-3.8900350543392186+3.9873006233818433j),(-8.607774591964303+19.127925049229482j),0j,0j,0j,(-1.4919632092827286+4.79819193652016j),(-0.7352750174785417+2.2827293727822697j),(-2.3600212958925195+5.917734181036032j),0j,0j,0j,(-1.4919636819366717+4.79819345658736j),(-0.7352752504136665+2.282730095950933j),(-2.360022043547264+5.917736055774214j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8,0j,0j,0j,0j,0j,0j,0j,0j,(42.14191301816205-99.67427748314607j),(-5.9678528371309145+19.19276774608064j),(-9.440085183570078+23.670936724144127j),(-3.887436561300678+6.331983812597339j),0j,0j,0j,(-0-0j),(-8.607774591964303+19.127925049229482j),(-3.9191867770187394+3.971367915843196j),0j,0j,0j,(-2.0406942634792067+5.471127151960708j),(-2.3600212958925195+5.917734181036032j),(-0.7590721569065724+2.3007846161889898j),0j,0j,0j,(-2.0406949099711476+5.471128885213784j),(-2.360022043547264+5.917736055774214j),(-0.7590723973806308+2.3007853450775535j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9,0j,0j,0j,0j,0j,0j,(-4.0504571301157934+6.358238179004515j),(-8.162777053916827+21.884508607842832j),(-5.9678528371309145+19.19276774608064j),(20.01112271151777-50.76285215175387j),0j,0j,(-1.8300356903542343+3.327337618825881j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10,0j,0j,0j,0j,0j,0j,(-8.162777053916827+21.884508607842832j),(-3.957326928304273+6.343899475835464j),(-9.440085183570078+23.670936724144127j),0j,(23.390224856145412-55.2266824266483j),0j,(-0-0j),(-1.8300356903542343+3.327337618825881j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11,0j,0j,0j,0j,0j,0j,(-5.9678528371309145+19.19276774608064j),(-9.440085183570078+23.670936724144127j),(-3.887436561300678+6.331983812597339j),0j,0j,(21.125410272355904-52.52302590164798j),(-0-0j),(-0-0j),(-1.8300356903542343+3.327337618825881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.8300356903542343+3.327337618825881j),(-0-0j),(-0-0j),(1.8300356903542343-3.327337618825881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-1.8300356903542343+3.327337618825881j),(-0-0j),0j,(1.8300356903542343-3.327337618825881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
14,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-1.8300356903542343+3.327337618825881j),0j,0j,(1.8300356903542343-3.327337618825881j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,(-0-0j),0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
16,0j,0j,0j,0j,0j,0j,(-0-0j),(-3.8900350543392186+3.9873006233818433j),(-8.607774591964303+19.127925049229482j),0j,0j,0j,0j,0j,0j,0j,(33.32749239014272-61.64060179363021j),0j,(-0-0j),(-6.483391757232031+6.645501038969741j),(-14.346290986607173+31.879875082049143j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17,0j,0j,0j,0j,0j,0j,(-0-0j),(-8.607774591964303+19.127925049229482j),(-3.9191867770187394+3.971367915843196j),0j,0j,0j,0j,0j,0j,0j,0j,(33.405230317288115-61.598114573527155j),(-0-0j),(-14.346290986607173+31.879875082049143j),(-6.5319779616978995+6.618946526405327j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
18,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
19,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-6.483391757232031+6.645501038969741j),(-14.346290986607173+31.879875082049143j),0j,(20.829682743839204-38.52537612101888j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-14.346290986607173+31.879875082049143j),(-6.5319779616978995+6.618946526405327j),0j,0j,(20.87826894830507-38.49882160845447j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
