,0,1,2,3,4,5,6,7,8,9,10,11
0,(450-450j),0j,0j,(-150+150j),(-150+150j),(-150+150j),0j,0j,0j,0j,0j,0j
1,0j,(450-450j),0j,(-150+150j),(-150+150j),(-150+150j),0j,0j,0j,0j,0j,0j
2,0j,0j,(450-450j),(-150+150j),(-150+150j),(-150+150j),0j,0j,0j,0j,0j,0j
3,(-150+150j),(-150+150j),(-150+150j),(1350-1350j),0j,0j,(-150+150j),(-150+150j),(-150+150j),(-150+150j),(-150+150j),(-150+150j)
4,(-150+150j),(-150+150j),(-150+150j),0j,(1350-1350j),0j,(-150+150j),(-150+150j),(-150+150j),(-150+150j),(-150+150j),(-150+150j)
5,(-150+150j),(-150+150j),(-150+150j),0j,0j,(1350-1350j),(-150+150j),(-150+150j),(-150+150j),(-150+150j),(-150+150j),(-150+150j)
6,0j,0j,0j,(-150+150j),(-150+150j),(-150+150j),(450-450j),0j,0j,0j,0j,0j
7,0j,0j,0j,(-150+150j),(-150+150j),(-150+150j),0j,(450-450j),0j,0j,0j,0j
8,0j,0j,0j,(-150+150j),(-150+150j),(-150+150j),0j,0j,(450-450j),0j,0j,0j
9,0j,0j,0j,(-150+150j),(-150+150j),(-150+150j),0j,0j,0j,(450-450j),0j,0j
10,0j,0j,0j,(-150+150j),(-150+150j),(-150+150j),0j,0j,0j,0j,(450-450j),0j
11,0j,0j,0j,(-150+150j),(-150+150j),(-150+150j),0j,0j,0j,0j,0j,(450-450j)
