,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,(986.2165737933184-9901.772829250185j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-986.2165737933184+9901.772829250185j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1,0j,(986.2165737933184-9901.772829250185j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-986.2165737933184+9901.772829250185j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2,0j,0j,(986.2165737933184-9901.772829250185j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-986.2165737933184+9901.772829250185j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3,0j,0j,0j,(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
4,0j,0j,0j,0j,(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
5,0j,0j,0j,0j,0j,(7.533704166935152-7.637425793669213j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-7.533704166935152+7.637425793669213j),0j,0j,0j
6,0j,0j,0j,0j,0j,0j,(30.952545292811774-83.78523838075228j),0j,0j,(-4.673039394062125+7.335541775372036j),(-9.417450305617535+25.248303477592327j),(-6.885151603883518+22.14282410043821j),0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,(-0.9128007270783671+2.681500317728918j),(-1.7212879009708795+5.535706025109553j),(-2.354362576404384+6.312075869398082j),0j,0j,0j,(-0.9128010162536366+2.681501167228216j),(-1.7212884462748848+5.535707778821215j),(-2.3543633222664453+6.31207786906371j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7,0j,0j,0j,0j,0j,0j,0j,(49.8776457454878-116.53808580516056j),0j,(-9.417450305617535+25.248303477592327j),(-4.565594459364162+7.318999117934548j),(-10.89108921018602+27.309317504889904j),0j,0j,0j,(-0-0j),(-4.4879593757581855+4.600175311199789j),(-9.930846931913162+22.06801464879638j),0j,0j,0j,(-1.7212879009708795+5.535706025109553j),(-0.8482916894984435+2.633600095574723j),(-2.722772302546505+6.827329376222476j),0j,0j,0j,(-1.7212884462748848+5.535707778821215j),(-0.8482919582372499+2.633600929899231j),(-2.7227731651207687+6.827331539120416j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8,0j,0j,0j,0j,0j,0j,0j,0j,(48.619405995140355-114.99487842748883j),(-6.885151603883518+22.14282410043821j),(-10.89108921018602+27.309317504889904j),(-4.484961477016334+7.305251937818967j),0j,0j,0j,(-0-0j),(-9.930846931913162+22.06801464879638j),(-4.521591912558367+4.581793640294401j),0j,0j,0j,(-2.354362576404384+6.312075869398082j),(-2.722772302546505+6.827329376222476j),(-0.8757466079041586+2.6544305502613454j),0j,0j,0j,(-2.3543633222664453+6.31207786906371j),(-2.7227731651207687+6.827331539120416j),(-0.8757468853406831+2.654431391184941j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9,0j,0j,0j,0j,0j,0j,(-4.673039394062125+7.335541775372036j),(-9.417450305617535+25.248303477592327j),(-6.885151603883518+22.14282410043821j),(23.086965679762795-58.565440946492785j),0j,0j,(-2.1113243761996157+3.838771593090211j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
