index,common_nodes,common_Vmag,common_Vang,low_nodes,low_Vmag,low_Vang,high_nodes,high_Vmag,high_Vang
0,1,[0.92007388 1.00433757 0.99276006],[  -2.25960258 -121.26619092  123.58279876],152,[0.8028531  1.03984121 1.00691126],[  -7.34307047 -123.46305748  131.21809498],135,[0.74842008 1.07453517 1.06372851],[  -7.1806497  -123.03479532  133.43307318]
1,13,[0.80285334 1.03984141 1.00691146],[  -7.34307998 -123.46306387  131.21809069],160,[0.74511372 1.00539075 0.97712535],[ -11.99402797 -127.89892534  135.32279924],18,[0.74841999 1.07453505 1.06372838],[  -7.18064581 -123.03479239  133.43307575]
2,149,[0.98073505 0.98718753 0.99257367],[  -0.17629235 -120.11330755  119.72429799],52,[0.77528981 1.03933649 0.99731414],[  -9.76404676 -124.68299414  133.4297039 ],35,[0.72280219 1.09066312 1.08865341],[  -7.3051177  -122.88703868  134.48601947]
3,150,[0.99989718 0.99992998 0.99997296],[-4.48580673e-03 -1.20003048e+02  1.19996976e+02],53,[0.76275304 1.03873625 0.99489886],[ -10.79078325 -125.25599961  134.3875509 ],40,[0.70065767 1.10436179 1.10685551],[  -7.76451614 -122.83692139  135.49978047]
4,7,[0.87528054 1.01750214 0.99598678],[  -4.00897598 -122.10857424  126.47427898],54,[0.76052676 1.03528951 0.99162229],[ -11.0811061  -125.55732782  134.58851703],42,[0.67850344 1.11807999 1.1254265 ],[  -8.2558162  -122.78884089  136.483147  ]
5,8,[0.84591145 1.02639809 0.99953827],[  -5.27737949 -122.65808148  128.38840536],57,[0.75515853 1.02552692 0.98527378],[ -11.56292613 -126.34055736  134.94174113],44,[0.65720835 1.13115789 1.1417431 ],[  -8.95916654 -122.7847581   137.47908452]
6,,,,60,[0.74511381 1.00539086 0.97712545],[ -11.99403161 -127.8989284   135.32279714],47,[0.63083725 1.14744182 1.1625792 ],[  -9.89517437 -122.77901385  138.67734367]
7,,,,67,[0.74511362 1.00539063 0.97712526],[ -11.99402433 -127.89892229  135.32280133],48,[0.6171035  1.15686034 1.1724148 ],[ -10.6384923  -122.7661192   139.37994542]
8,,,,72,[0.74284693 0.99845387 0.97757244],[ -11.72295692 -128.35080264  135.17980998],,,
9,,,,76,[0.74321458 0.99444144 0.9758564 ],[ -11.64524892 -128.56515926  135.09969421],,,
10,,,,77,[0.74137482 0.98877565 0.9761035 ],[ -11.43777772 -128.93438216  135.00786894],,,
11,,,,78,[0.74168224 0.98870425 0.97465384],[ -11.55350156 -128.95624913  135.06007036],,,
12,,,,80,[0.75658606 0.9807294  0.96281396],[ -11.21637153 -128.93200374  134.32285997],,,
13,,,,81,[0.77403845 0.97724742 0.94598145],[ -11.43164261 -128.66724586  133.81878551],,,
14,,,,82,[0.78303585 0.9753883  0.93743791],[ -11.52526365 -128.53351931  133.54223417],,,
15,,,,83,[0.79225434 0.97343029 0.93058107],[ -11.44570272 -128.36752261  133.14785629],,,
